Profile,Skills,Experience,CompanyName,CompanyRanking
data engineer,"javascript,python,react",9,Universal Health Services,281
data engineer,"python,sql,hadoop,hbase,hive",11,Allstate,72
data engineer,"python,sql,aws,pandas",10,Parker-Hannifin,224
data engineer,"hadoop,hive,pig",12,Levi Strauss,495
data engineer,"css,html,javascript,python,r,sql,django",7,Oneok,313
data engineer,"python,sql,linux,mysql,pandas",1,Franklin Resources,493
data engineer,"java,scala,spark",14,International Paper,144
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",3,Booz Allen Hamilton Holding,450
data engineer,"aws,hadoop,spark",3,Bank of New York Mellon,159
data engineer,"python,sql",1,salesforce.com,190
data engineer,"javascript,python,react",12,AbbVie,99
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",2,Fidelity National Financial,375
data engineer,"aws,hadoop,spark",4,Campbell Soup,322
data engineer,"python,sql",1,CHS,105
data engineer,"javascript,python,react",0,Liberty Media,306
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",6,Amazon.com,2
data engineer,"aws,hadoop,spark",9,Cardinal Health,16
data engineer,"python,sql",5,CarMax,173
data engineer,"javascript,python,react",14,Las Vegas Sands,235
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",12,CarMax,173
data engineer,"aws,hadoop,spark",7,Fox,280
data engineer,"python,sql",5,U.S. Bancorp,113
data engineer,"javascript,python,react",10,D.R. Horton,183
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",1,AGCO,350
data engineer,"aws,hadoop,spark",10,salesforce.com,190
data engineer,"python,sql",2,Masco,384
data engineer,"javascript,python,react",12,Corteva,234
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",1,Regions Financial,446
data engineer,"aws,hadoop,spark",0,Ecolab,213
data engineer,"python,sql",12,Global Partners,246
data engineer,"javascript,python,react",2,Assurant,315
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",6,Alaska Air Group,360
data engineer,"aws,hadoop,spark",7,Avis Budget Group,345
data engineer,"python,sql",0,New York Life Insurance,73
data engineer,"javascript,python,react",12,Blackstone Group,420
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",0,IBM,38
data engineer,"aws,hadoop,spark",0,Insight Enterprises,409
data engineer,"python,sql",2,Fidelity National Financial,375
data engineer,"javascript,python,react",4,Rockwell Automation,452
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",3,Fifth Third Bancorp,325
data engineer,"aws,hadoop,spark",2,NRG Energy,324
data engineer,"python,sql",3,Fannie Mae,24
data engineer,"javascript,python,react",4,Tech Data,90
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",3,United Natural Foods,133
data engineer,"aws,hadoop,spark",7,Core-Mark Holding,240
data engineer,"python,sql",13,Exxon Mobil,3
data engineer,"javascript,python,react",8,W.W. Grainger,278
data engineer,"scala,aws,linux,spark",13,Cummins,132
data engineer,"java,python,scala,sql,aws,hadoop,hbase,hive,linux,mongodb,mysql,pig,spark",11,United Parcel Service,43
data engineer,"python,sql,aws",11,Seaboard,444
data engineer,"python,scala,aws,cassandra",0,United Natural Foods,133
data engineer,"scala,sql,aws",2,AbbVie,99
data engineer,"sql,numpy,pandas",14,Archer Daniels Midland,54
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",10,Clorox,474
data engineer,"aws,hadoop,spark",2,Alcoa,302
data engineer,"python,sql",5,US Foods Holding,116
data engineer,"javascript,python,react",1,Western & Southern Financial Group,401
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",9,Leidos Holdings,289
data engineer,"aws,hadoop,spark",10,Massachusetts Mutual Life Insurance,89
data engineer,"python,sql",4,Sherwin-Williams,180
data engineer,"javascript,python,react",4,PPG Industries,209
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",14,USAA,94
data engineer,"aws,hadoop,spark",5,Advanced Micro Devices,448
data engineer,"python,sql",9,Walgreens Boots Alliance,19
data engineer,"javascript,python,react",4,Applied Materials,218
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",13,Pioneer Natural Resources,341
data engineer,"aws,hadoop,spark",10,International Paper,144
data engineer,"python,sql",3,Chevron,15
data engineer,"javascript,python,react",7,Liberty Mutual Insurance Group,77
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",14,Cisco Systems,63
data engineer,"aws,hadoop,spark",0,Kohl's,165
data engineer,"python,sql",13,TIAA,81
data engineer,"javascript,python,react",8,Rockwell Automation,452
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",3,Dover,433
data engineer,"aws,hadoop,spark",4,Visa,137
data engineer,"python,sql",6,Intercontinental Exchange,459
data engineer,"javascript,python,react",0,Verizon Communications,20
data engineer,"java,javascript,python,cassandra,hadoop,hbase,linux,mysql,spark",11,HP,58
